2022-02-27 07:26:02.0359|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
2022-02-27 07:34:45.8151|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
2022-02-27 15:46:33.5769|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
2022-02-27 15:51:39.6075|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
2022-02-27 15:51:39.7472|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
2022-02-27 15:51:48.8760|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
2022-02-27 15:53:43.4537|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
2022-02-27 15:54:32.3533|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
2022-02-27 16:10:00.5617|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
